MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass;
366978710,2020-01-01T00:00:02,54.13177,-165.78251,0.1,-165.6,270.0,GYRFALCON,IMO9125750,WCU6587,31,0,30,10,3.7,31,B;
367641290,2020-01-01T00:00:03,37.90573,-87.51044,5.7,88.4,511.0,CAPT SKINNY,,WDH6753,31,0,16,6,,,B;
366962950,2020-01-01T00:00:06,36.78175,-89.12508,0.0,-160.4,511.0,TODD BROWN,,WDB8694,31,0,22,8,,,B;
367606370,2020-01-01T00:00:06,29.76510,-95.08867,6.8,-105.6,303.0,PAT BOONE,,WDH3305,31,0,15,6,,52,B;
367471910,2020-01-01T00:00:11,30.42703,-91.19497,0.0,174.0,7.0,STEVE SCALISE,,WDF6218,31,0,24,9,,,B;
367503060,2020-01-01T00:00:14,29.92662,-90.19587,8.6,-165.5,245.0,BLANCO,,WDF9237,31,12,25,9,,,A;
366967360,2020-01-01T00:00:00,29.96648,-93.85801,0.0,-173.3,511.0,HELEN MORAN,IMO6520856,WCL5699,31,0,31,8,4.7,,B;
368065590,2020-01-01T00:00:03,28.94545,-95.37975,0.0,-193.2,511.0,M/V VICTORIA,,WDK5516,90,0,16,6,2.5,90,B;
367744120,2020-01-01T00:00:05,29.90659,-90.12315,0.0,-164.8,511.0,TED KAYSER,,WDI8984,31,15,18,,,,B;
367443920,2020-01-01T00:00:06,30.11710,-91.01292,1.3,44.0,242.0,JOHN 3:16,IMO8975835,WDF3781,31,0,21,8,,31,A;
367657060,2020-01-01T00:00:07,33.73088,-118.27740,0.1,33.5,511.0,SEA VENTURE,,WDH8347,30,,22,,,,B;
367004450,2020-01-01T00:00:08,29.57693,-90.60927,0.0,0.0,511.0,TENNER C,IMO7046120,WCP9680,52,0,33,10,4.5,52,B;
378111106,2020-01-01T00:00:12,25.87546,-80.13204,0.0,141.1,511.0,NICOLIN,,ZJL7474,37,,,,,,B;
367057830,2020-01-01T00:00:14,29.76803,-95.09267,0.2,87.6,511.0,BURNS JOHNSON JR.,,WDC6554,31,15,18,8,,,B;
212911000,2020-01-01T00:00:00,49.28918,-123.06809,0.0,-124.2,180.0,LEMESSOS QUEEN,IMO9464417,5BVR4,70,5,224,32,14.1,70,A;
366909530,2020-01-01T00:00:00,43.65766,-70.24792,0.1,-112.1,511.0,RODERICK MCALLISTER,IMO6807216,WDB5428,31,0,32,8,3.8,52,B;
367116420,2020-01-01T00:00:06,30.47857,-91.74994,5.7,-82.6,511.0,EDNA T GATTLE,,WDD2528,31,0,30,9,,,B;
338792000,2020-01-01T00:00:06,60.99839,-151.30094,0.0,-100.8,81.0,TITAN,IMO8964604,WDH4910,90,0,51,12,3.0,,B;
367468920,2020-01-01T00:00:08,29.94438,-90.17339,0.0,-107.9,511.0,ELWOOD JONES,,WDF5940,31,15,13,6,,,B;
565509000,2020-01-01T00:00:10,24.28717,-80.24537,14.6,53.0,56.0,CRIMSON RAY,IMO9347152,S6BB8,80,0,144,25,9.4,80,B;
367514520,2020-01-01T00:00:10,29.68994,-91.21463,0.0,-141.4,511.0,VICKI LYNN,,WDG2326,31,12,16,6,,,B;
338570000,2020-01-01T00:00:09,28.92678,-95.28772,8.3,138.1,139.0,BAYPORT,IMO8993784,WCZ4240,90,3,90,16,,33,B;
367198880,2020-01-01T00:00:14,29.91738,-89.92688,0.0,196.0,511.0,DIXIE LEE EYMARD,,WDD8420,31,0,18,7,,31,B;
367331150,2020-01-01T00:00:05,33.80862,-91.02101,0.0,-172.2,511.0,BROTHER WILSON,,WDE2902,31,0,38,13,,31,B;
246244000,2020-01-01T00:00:06,29.73202,-95.27597,0.0,-65.6,344.0,ROLLDOCK SEA,IMO9404704,PBPF,70,5,140,24,5.6,,A;
367532850,2020-01-01T00:00:07,31.25992,-91.59145,10.5,-131.5,511.0,CAMILLE B BARRETT,IMO8836663,WDG4089,31,0,59,16,,,B;
246506000,2020-01-01T00:00:06,18.51715,-65.70062,15.7,102.0,102.0,VEENDAM,IMO9102992,PHEO,60,5,219,30,7.7,69,B;
367642490,2020-01-01T00:00:00,29.78567,-95.09202,0.0,-171.8,511.0,MISS WHITNEY,IMO8992936,WDH6876,31,0,17,7,,,B;
636017322,2020-01-01T00:00:00,32.53260,-78.70278,12.7,199.5,200.0,SOUTHERN OWL,IMO9773143,D5KI8,80,0,156,,,,B;
367370160,2020-01-01T00:00:02,38.38826,-85.63237,3.5,33.7,511.0,LADY LOREN,IMO9558062,WDE5677,31,0,23,8,2.4,31,B;
316607241,2020-01-01T00:00:04,45.24093,-83.18070,10.7,-88.6,321.0,OJIBWAY,IMO5105831,CFN4292,70,0,194,20,7.8,70,B;
367575520,2020-01-01T00:00:06,29.13945,-90.21237,0.0,-197.8,159.0,HOS COMMANDER,IMO9647564,WDG8249,90,0,97,19,6.0,,B;
